OBJECTID,Month,SAT,LST,I_temp,Energy
1,Jan-15,28.69,30.18,20.24,7504
2,Feb-15,31.46,31.23,21.56,8793
3,Mar-15,31.74,30.89,19.22,9120
4,Apr-15,31.54,30.76,22.45,8070
5,May-15,30.29,29.79,23.45,8078
6,Jun-15,28.57,30.82,22.51,8379
7,Jul-15,28.41,29.85,23.67,8210
8,Aug-15,28.08,29.87,22.73,7750
9,Sep-15,28.16,30.9,22.78,8774
10,Oct-15,29.16,31.98,20.01,8122
11,Nov-15,30,29,20.36,8562
12,Dec-15,28.47,30.86,21.02,8612
13,Jan-16,28.71,30.71,20.65,7163
14,Feb-16,31.55,32.35,19.83,10407
15,Mar-16,31.58,33.58,19.21,10986
16,Apr-16,31.39,28.69,21.66,8639
17,May-16,30.56,29.76,22.62,7052
18,Jun-16,28.48,29.58,19.71,7789
19,Jul-16,28.44,29.64,21.18,6448
20,Aug-16,28.28,29.18,21.26,6228
21,Sep-16,28.49,29.59,21.21,6463
22,Oct-16,28.98,31.34,20.62,7429
23,Nov-16,30.05,31.05,23.48,7839
24,Dec-16,27.48,32.68,22,8867
25,Jan-17,28.86,33.42,24.06,7263
26,Feb-17,31.3,31.65,23.6,6843
27,Mar-17,31.74,31.83,21.66,8948
28,Apr-17,31.45,30.02,67.22,8778
29,May-17,30.47,30.05,67.25,8672
30,Jun-17,28.54,30.08,67.28,7406
31,Jul-17,28.16,30.11,67.31,8768
32,Aug-17,28.54,31.13,22.91,8998
33,Sep-17,28.49,30.16,67.36,8527
34,Oct-17,28.88,31.85,22.04,8070
35,Nov-17,29.93,31.86,21.92,7114
36,Dec-17,28,32.87,19.73,7340
37,Jan-18,28.85,32.75,22.63,8528
38,Feb-18,31.71,30.51,22.25,8400
39,Mar-18,31.84,31.84,21.43,9246
40,Apr-18,31.53,31.13,26.08,8845
41,May-18,30.6,32.18,24.08,8790
42,Jun-18,28.65,31.53,23.67,8416
43,Jul-18,28.5,31.76,23.82,7154
44,Aug-18,28.59,31.79,25.21,8999
45,Sep-18,28.59,33.69,26.81,7578
46,Oct-18,29.12,32.12,22.94,8482
47,Nov-18,30.27,32.07,21.32,7947
48,Dec-18,28.26,33.06,22.47,7142
49,Jan-19,28.91,31.25,21.2,6841
50,Feb-19,31.23,31.77,23.62,6759
51,Mar-19,31.67,31.89,23.88,6918
52,Apr-19,31.85,30.28,22.56,8252
53,May-19,30.52,29.31,20.91,8534
54,Jun-19,28.65,30.34,21.16,6649
55,Jul-19,28.59,31.37,22.95,7004
56,Aug-19,28.43,29.39,66.59,8895
57,Sep-19,28.33,30.42,23.35,7419
58,Oct-19,28.99,33.76,20.95,7136
59,Nov-19,30.25,31.54,21.54,7740
60,Dec-19,28.04,31.98,20.18,6985
61,Jan-20,29,32.08,19.14,8602
62,Feb-20,32,31.49,20.82,10034
63,Mar-20,32,32.53,22.6,8100
64,Apr-20,32,28.41,18.62,10556
65,May-20,30,27.44,18.08,10977
66,Jun-20,29,29.47,16.56,10786
67,Jul-20,29,29.5,20.01,7565
68,Aug-20,28,29.52,17.34,9661
69,Sep-20,29,29.55,19.89,7772
70,Oct-20,29,33.98,25.27,3237
71,Nov-20,30,35.98,29.71,9606
72,Dec-20,28,34.23,20.08,9606
73,Jan-21,29.04,32.24,25.88,8318
74,Feb-21,32.04,32.67,25.67,10092
75,Mar-21,31.8,33.54,26.73,10659
76,Apr-21,31.59,26.61,21.19,10390
77,May-21,30.5,33.44,22.28,9353
78,Jun-21,28.18,31.81,23.1,7710
79,Jul-21,28.64,31.53,14.24,7585
80,Aug-21,28.17,31.32,21.84,8573
81,Sep-21,28.56,31.64,23.18,9838
82,Oct-21,29.23,31.31,21.5,5376
83,Nov-21,30.06,30.65,20.51,5252
84,Dec-21,28.31,32.34,21,8512
85,Jan-22,29.09,31.23,20.6,8510
86,Feb-22,31.46,30.34,20.65,10171
87,Mar-22,32.08,32.67,24.9,10292
88,Apr-22,31.77,31.54,20.86,9117
89,May-22,30.53,31.33,20.34,9116
90,Jun-22,28.46,32.36,19.82,8763
91,Jul-22,28.49,31.39,18.81,8602
92,Aug-22,28.5,34.3,23.35,6816
93,Sep-22,28.53,31.43,23.29,8231
94,Oct-22,28.98,32.78,24.11,8214
95,Nov-22,30.04,33.04,22.48,9651
96,Dec-22,28.23,33.13,20.94,7752
97,Jan-23,29.07,35.43,24.69,9403
98,Feb-23,31.51,31.93,21.46,9281
99,Mar-23,32.24,31.97,22.21,10945
100,Apr-23,31.63,31.8,22.13,6902
101,May-23,30.69,30.83,21.04,8979
102,Jun-23,28.44,31.86,19.02,7763
103,Jul-23,28.61,30.89,20.81,6927
104,Aug-23,28.75,32.91,21.47,8361
105,Sep-23,28.56,30.94,22.48,6909
106,Oct-23,29.15,35.65,19.87,9751
107,Nov-23,30.16,33.64,20.71,6823
108,Dec-23,28.35,35.83,22.36,4993
109,Jan-24,29.39,34.39,20.31,3915
110,Feb-24,32.03,34.03,20.49,4614
111,Mar-24,31.99,34.89,21.56,5156
112,Apr-24,31.62,34.62,21.69,9213
113,May-24,30.99,36.89,20.55,7800
114,Jun-24,28.85,36.65,20.68,5640
115,Jul-24,28.8,35.5,18.25,9370
116,Aug-24,28.74,36.64,20.68,9710
117,Sep-24,28.64,35.54,18.23,10376
118,Oct-24,29.74,36.32,20.36,10981
119,Nov-24,30.66,36.41,18.77,10560
120,Dec-24,29.86,36.23,18.89,10745
121,Jan-25,28.71,30.71,20.65,10377
122,Feb-25,31.55,32.35,19.83,10087
123,Mar-25,31.58,33.58,19.21,10069
124,Apr-25,31.39,28.69,21.66,9239
125,May-25,30.56,29.76,22.62,10884
126,Jun-25,28.48,29.58,19.71,7178
127,Jul-25,28.44,29.64,21.18,8550
128,Aug-25,28.28,29.18,21.26,8601
129,Sep-25,28.49,29.59,21.21,6823
130,Oct-25,28.98,31.34,20.62,7429
131,Nov-25,30.05,31.05,23.48,9241
132,Dec-25,27.48,32.68,22,9867.28
